stress_mode,q_max,auroc_negative_margin,auroc_margin_plus_rho_cost,delta_auroc,auprc_negative_margin,auprc_margin_plus_rho_cost,delta_auprc,p5_negative_margin,p5_margin_plus_rho_cost,p10_negative_margin,p10_margin_plus_rho_cost,r10_negative_margin,r10_margin_plus_rho_cost,bootstrap_delta_auc_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_frac_positive,w_neg_margin,w_rho_cost
clean,16,0.8512615195945824,0.8526970729859871,0.0014355533914046648,0.37194521073516335,0.37520830352533374,0.0032630927901703966,0.4391891891891892,0.3783783783783784,0.3593220338983051,0.3559322033898305,0.5247524752475248,0.5198019801980198,0.0013926736316600592,-0.001000294516686062,0.0038460434095317236,0.886,0.8319035780931698,0.045730992786671365
noise,16,0.852123573013039,0.8535446987321683,0.0014211257191293347,0.3765534022629838,0.3543710554722049,-0.022182346790778906,0.43243243243243246,0.3918918918918919,0.36610169491525424,0.3593220338983051,0.5346534653465347,0.5247524752475248,0.0014202227043445552,-0.0007819467500782496,0.003661048997892688,0.877,1.9644406020573402,0.1037494062087343
time_mask,16,0.8403541993543616,0.8410431207055131,0.0006889213511515058,0.36654966881486467,0.37322270106451516,0.00667303224965049,0.47297297297297297,0.47297297297297297,0.3593220338983051,0.36271186440677966,0.5247524752475248,0.5297029702970297,0.0006853848479066639,0.00027089108183963315,0.0011162133538003688,0.999,1.3608055009921918,0.012691827973585923
channel_dropout,16,0.7697214054151795,0.7777066210881162,0.00798521567293664,0.4153031039108623,0.4380283724179115,0.0227252685070492,0.5743243243243243,0.5540540540540541,0.5084745762711864,0.46779661016949153,0.4178272980501393,0.38440111420612816,0.008043886020998533,0.003353043609404685,0.012913583462293843,0.999,1.9483484101922963,0.31662941607459105
