stress_mode,q_max,auroc_negative_margin,auroc_mixed_ce,delta_auroc,auprc_negative_margin,auprc_mixed_ce,delta_auprc,p5_negative_margin,p5_mixed_ce,p10_negative_margin,p10_mixed_ce,r10_negative_margin,r10_mixed_ce,bootstrap_ci_low,bootstrap_ci_high,frac_positive
clean,16,0.8512615195945824,0.8543382207073167,0.0030767011127342814,0.37194521073516335,0.38176065627934147,0.009815445544178125,0.4391891891891892,0.44594594594594594,0.3593220338983051,0.3728813559322034,0.5247524752475248,0.5445544554455446,0.002227133322014213,0.004000708815560847,1.0
clean,64,0.8512615195945824,0.8570343919637865,0.005772872369204096,0.37194521073516335,0.4139347981049438,0.04198958736978048,0.4391891891891892,0.4797297297297297,0.3593220338983051,0.39661016949152544,0.5247524752475248,0.5792079207920792,0.0040627622701686576,0.007526790371484074,1.0
noise,16,0.852123573013039,0.8536727443236127,0.0015491713105737492,0.3765534022629838,0.37224692693373596,-0.0043064753292478275,0.43243243243243246,0.4391891891891892,0.36610169491525424,0.376271186440678,0.5346534653465347,0.5495049504950495,0.0011379246226366601,0.0020148133327178045,1.0
noise,64,0.852123573013039,0.857057836931234,0.00493426391819507,0.3765534022629838,0.3885462093489425,0.011992807085958734,0.43243243243243246,0.4527027027027027,0.36610169491525424,0.4,0.5346534653465347,0.5841584158415841,0.0032629541963579258,0.006674691773384586,1.0
time_mask,16,0.8403541993543616,0.8415534996122563,0.0011993002578947198,0.36654966881486467,0.3661087432437181,-0.0004409255711465554,0.47297297297297297,0.4797297297297297,0.3593220338983051,0.36610169491525424,0.5247524752475248,0.5346534653465347,0.0008219558004417538,0.0016007786106120357,1.0
time_mask,64,0.8403541993543616,0.8377229526231311,-0.0026312467312304966,0.36654966881486467,0.3945377087407208,0.027988039925856134,0.47297297297297297,0.5067567567567568,0.3593220338983051,0.39322033898305087,0.5247524752475248,0.5742574257425742,-0.005821658808032393,0.0003072750489513964,0.04
channel_dropout,16,0.7697214054151795,0.7747262919065065,0.005004886491327021,0.4153031039108623,0.44621529472220484,0.030912190811342555,0.5743243243243243,0.5472972972972973,0.5084745762711864,0.511864406779661,0.4178272980501393,0.4206128133704735,0.003151914332671246,0.006767275442237067,1.0
channel_dropout,64,0.7697214054151795,0.7700120117275792,0.00029060631239963275,0.4153031039108623,0.4392859750707964,0.023982871159934138,0.5743243243243243,0.581081081081081,0.5084745762711864,0.5220338983050847,0.4178272980501393,0.42896935933147634,-0.0010016403346401774,0.001580102778614953,0.65
