bundle,tan_d_auroc,tan_p_auroc,tan_d_f1_10,tan_p_f1_10,fuzzy_d_auroc,fuzzy_p_auroc,fuzzy_d_f1_10,fuzzy_p_f1_10
pamap2_tb12_q64_interp_n600,-0.017170529037240947,0.0016,0.0,0.0,-0.09423248499183619,0.0,-0.027718736882128586,0.0
pamap2_tb8_q58_interp_n600,-0.01254517154107657,0.002,0.0,0.0,-0.11546078783433977,0.0,-0.02187608876641873,0.0
uci_har_tb16_q64_interp_n600,-0.010494101174761837,0.0328,0.0,0.0,-0.17163159809209821,0.0,-0.021363374080083496,0.0
uci_har_tb8_q58_interp_n600,-0.0010438174775854578,0.7032,0.0,0.0,-0.3154540596865193,0.0,-0.06073640471632725,0.0
wisdm_tb12_q58_interp_n600,0.04188887779972186,0.004,0.034958655779292656,0.0,-0.26099865154321816,0.0,-0.03570310429454323,0.0032
wisdm_tb8_q39_interp_n600,0.021291861122882727,0.0092,0.0014337767362349943,0.0,-0.2954112320181019,0.0,-0.034471499249490424,0.0008
