bundle,tan_d_auroc,tan_p_auroc,tan_d_f1_10,tan_p_f1_10,fuzzy_d_auroc,fuzzy_p_auroc,fuzzy_d_f1_10,fuzzy_p_f1_10
heartbeat_tb12_q64_interp_n380,0.0018131634189232,0.8228,0.0027838554971649,0.0,-0.0779896149625181,0.0652,-0.0302817106478973,0.0
heartbeat_tb8_q64_interp_n380,-0.0028157277693079,0.6644,0.0,0.0,-0.1684232738385327,0.0,-0.0166192989439406,0.0
