bundle,tan_d_auroc,tan_p_auroc,tan_d_f1_10,tan_p_f1_10,fuzzy_d_auroc,fuzzy_p_auroc,fuzzy_d_f1_10,fuzzy_p_f1_10
uwave_tb16_q39_interp_n428,-0.0674996454132012,0.2068,8.50303030303029e-05,0.0,-0.1617986413747393,0.0,-0.0020348225332758,0.0
uwave_tb24_q58_interp_n428,0.0187475198200494,0.0672,0.0006531718981983,0.0,-0.0835930926148243,0.0024,-0.0069507127388395,0.0268
